,keluhan,bagian,clean_keluhan
0,"1. Pembayaran SPP Genap 1415 dianggap belum lunas di iGracias.
2. Saya ingin membayar tagihan semester ini (Genap 1617) yang tertunggak (karena terlambat registrasi), namun tidak tampak nilai tagihannya.&nbsp;
mohon solusi pada kesempatan pertama, mengingat setelah poin1 & 2 selesai, saya akan mengajukan ijin cuti.
terima kasih
hendri purnaratman
(alumni S1 STTT dan mahasiswa S2 W-2",AKUNTANSI,bayar spp genap anggap lunas igracias bayar tagih semester genap tunggak lambat registrasi nilai tagihannyanbsp solusi poin selesai aju ijin cuti hendri purnaratman alumni s sttt mahasiswa s
1,"Selamat sore.
 Saya Andika mahasiswa sistem informasi 
 akuntansi angkatan tahun 2018, dengan 
 NIM 6703181007.
 Saya ingin menanyakan perihal lebih 
 bayar BPP senilai Rp 200.000 yang saya 
 lakukan di awal perkuliahan semester 1. 
 Kira-kira lebih bayar tersebut bisa 
 dikembalikan tidak ya? Dan proses apa 
 saja yang harus saya lakukan?",AKUNTANSI,andika mahasiswa sistem informasi akuntansi angkat perihal bayar bpp nila rupiah laku kuliah semester kirakira bayar proses laku
2,"Mohon maaf saya haidar mau komplain pada saat saya mau membayar di bank BNI di bank tersebut memiliki keterangan dengan tidak ada tagihan untuk nim saya,namun di sistem memiliki keterangan belum lunas terima kasih",AKUNTANSI,haidar komplain bayar bank bni bank milik terang tagih sayanamun sistem milik terang lunas
3,"Assalamualaikum pak/bu, permisi saya
 ABBAS PAHLAWAN NAZARSYAH (1101172006) dari kelas TT - 41 -01 sudah melakukan pembayaran BPP semester 8 saya tapi statusnya di igracias masih Belum Lunas. Solusinya bagaimana ya pak/bu? Terimakasih",AKUNTANSI,permisi abbas pahlawan nazarsyah kelas tt laku bayar bpp semester status igracias lunas solusi
4,"Halo saya mau tanya, tadi saya ke BNI untuk bayar semester tapi kata tellernya nominal yg harus saya bayar tidak keluar
 Itu kenapa ya? Saya disuruh kontak telkom untuk tanya dan kalau bisa minta dibukakan agar saya bisa bayar semester
 NIM saya 1401160536 nama Vanya Miyako Safitri MBTI 2016",AKUNTANSI,halo bni bayar semester tellernya nominal bayar suruh kontak telkom buka bayar semester nama vanya miyako safitri mbti
5,"Selamat pagi, Pak/Bu.
 
 Nama saya Prily Calista Putri Yones, dari jurusan International ICT Business angkatan 2017. Pada tanggal 30 Januari 2021, saya telah melakukan pembayaran full BPP. Namun, setelah perwalian, diberi tahu bahwa yang hanya mengambil skripsi dan kolokium mendapatkan potongan 50%. Sekarang di iGracias tagihannya juga sudah terpotong, menjadi ada selisih bayar.
 
 Saya ingin menanyakan teknis pengembalian selisih bayar seperti apa, ya Pak/Bu? Berikut saya lampiran screenshot bukti bayar dan tagihan setelah ada potongan. 
 
 Terima kasih, Pak/Bu, sebelumnya. 
 
 Salam,
 Prily.",AKUNTANSI,nama prily calista putri yones international ict business angkat tanggal januari laku bayar full bpp wali ambil skripsi kolokium potong igracias tagih potong selisih bayar teknis selisih bayar lampir screenshot bukti bayar tagih potong salam prily
6,"Selamat pagi, saya Amanda Nabila Mayreri dengan nim 1401174513, jurusan International ICT Business angkatan 2017. Saya sudah membayar BPP pada tanggal 02 Februari 2021 sejumlah 17.950.000 via bank BNI. Karena saya semester 8 ini hanya mengambil thesis dan colloquium terjadi potongan ya? karena di igracias saya menunjukan kelebihan nominal yang di bayarkan. Untuk proses refundnya seperti apa ya? dan membutuhkan data apa saja untuk proses refund
 Berikut bukti pembayaran dan data pembayaran mahasiswa yang ada diigracias
 Terimakasih.",AKUNTANSI,amanda nabila mayreri international ict business angkat bayar bpp tanggal februari via bank bni semester ambil thesis colloquium potong igracias nominal bayar proses refundnya butuh data proses refund bukti bayar data bayar mahasiswa diigracias
7,"Selamat pagi,
 
 Saya mahasiswa telkom university atas nama Ramadhan Hadiatma dengan NIM 1202144104, saya ingin melakukan pembayaran kuliah tapi untuk status tagihan masih belum tertera.
 
 Mohon bantuannya, terima kasih",AKUNTANSI,mahasiswa telkom university nama ramadhan hadiatma laku bayar kuliah status tagih tera bantu
8,"Assalamualaikum wr. wb.
 Selamat siang
 
 Mohon maaf sebelumnya, saya sudah melakukan pembayaran bpp sesuai jumlah tagihan tanggal 2 feb 2021.
 Kenapa keterangan di igracias pada tagihan pembayaran menjadi kredit 6 feb 2021 seperti pada gambar yang saya lampirkan?
 
 Terima kasih.
 Wassalamualaikum wr. wb.",AKUNTANSI,laku bayar bpp sesuai tagih tanggal feb terang igracias tagih bayar kredit feb gambar lampir
9,"Selamat siang pak/bu
 Saya Muhammad Arief Hidayat (1102164268), dari jurusan S1 Teknik Elektro
 Pembayaran BPP saya tidak terdeteksi di bank, saya tinggal mengambil mata kuliah TA saja, tapi tadi waktu bayar di bank tidak bisa
 Mohon dibantu agar bisa bayar
 Terimakasih",AKUNTANSI,muhammad arief hidayat s teknik elektro bayar bpp deteksi bank tinggal ambil mata kuliah ta bayar bank bantu bayar
